模块分层,一级特性,二级细分特性,优先级,是否已实现,特性状态,代码验证结果,证据摘要
Sandbox 预热缓冲池 Pool,冷/热切换逻辑,优先分配预热实例,P0,是,已上线,❌ NOT FOUND,无显式cold/hot pool分类或降级逻辑; 仅有BufferMin/Max水位
Sandbox 预热缓冲池 Pool,水位弹性策略,基础扩缩容阈值,P1,是,已上线,✅ VERIFIED,pool_controller.go:735-736 - BufferMin/BufferMax + scalePool midpoint
数据平面多类型隔离沙箱,CodeInterpreter代码沙箱,基础代码执行环境,P0,是,已上线,✅ VERIFIED,sandboxes/code-interpreter/Dockerfile + Dockerfile_base + Jupyter config
数据平面多类型隔离沙箱,CodeInterpreter代码沙箱,execd执行守护进程,P0,是,已上线,✅ VERIFIED,components/execd/main.go - Gin HTTP server with Jupyter/PTY/runtime
数据平面多类型隔离沙箱,Browser网页自动化沙箱,基础Chrome/Playwright环境,P0,是,已上线,✅ VERIFIED,examples/chrome/Dockerfile examples/playwright/Dockerfile - Chromium+Playwright
数据平面多类型隔离沙箱,Computer Use桌面GUI沙箱,基础VNC桌面环境,P1,是,已上线,✅ VERIFIED,examples/desktop/Dockerfile - xvfb+x11vnc+novnc+fluxbox
数据平面多类型隔离沙箱,公共数据面能力,Egress Sidecar基础网络代理,P0,是,已上线,✅ VERIFIED,components/egress/main.go - dnsproxy/mitmproxy/nftables/iptables
数据平面多类型隔离沙箱,公共数据面能力,文件系统隔离,P0,是,已上线,✅ VERIFIED,components/execd/pkg/isolation/isolator.go - bubblewrap namespace隔离
底层安全隔离底座,容器基础隔离,Linux Namespace隔离,P0,是,已上线,✅ VERIFIED,docker_service.py:949-1008 + container_ops.py:348-357 - security_opt
底层安全隔离底座,容器基础隔离,Cgroup资源限制,P0,是,已上线,✅ VERIFIED,create_helpers.py:91-97 + batchsandbox_provider.py:158-210 - resource limits
底层安全隔离底座,强隔离微VM底座,Kata Containers适配,P1,是,已上线,✅ VERIFIED,runtime_resolver.py:53-59 - kata→kata-runtime(Docker)/kata-qemu(K8s)
底层安全隔离底座,系统调用安全策略,基础Seccomp/AppArmor配置,P0,是,已上线,✅ VERIFIED,config.py:830-843 + container_ops.py:348-357 + execd seccomp_gen.go
底层安全隔离底座,可观测体系,基础Prometheus指标,P1,是,已上线,✅ VERIFIED,kubernetes/config/prometheus/monitor.yaml + cmd/controller/main.go metrics server
底层安全隔离底座,可观测体系,Grafana监控大盘,P1,是,已上线,❌ NOT FOUND,无Grafana dashboard JSON; Prometheus ServiceMonitor存在但无面板
底层安全隔离底座,日志持久化,基础日志采集,P1,是,已上线,❌ NOT FOUND,仅有Python RotatingFileHandler; 无ELK/fluentd集中式日志采集
底层安全隔离底座,K8s集群部署底座,基础Helm Chart,P0,是,已上线,✅ VERIFIED,kubernetes/charts/ - opensandbox/opensandbox-controller/opensandbox-server
